자재번호,대상장비,생성일시
1119874,P001,2023-06-20 23:30
1119875,P001,2023-06-20 23:30
1119876,P001,2023-06-20 23:30
1114777,R720,2023-06-20 23:30
1099418,R720,2024-09-19 23:30
1117339,R123,2024-09-19 23:30
1111598,J001,2019-10-22 23:29
1097175,R710,2024-09-19 23:30
7020167,K001,2019-10-22 23:29
1107924,S001,2023-06-20 23:30
1097176,R710,2024-09-19 23:30
1121865,A001,2024-09-19 23:30
1111376,I001,2021-02-19 23:30
1116970,R110,2024-09-19 23:30
1119865,R122,2023-06-20 23:30
1114421,T001,2024-09-20 23:30
1113174,R720,2023-06-20 23:30
7019976,M001,2018-12-28 23:30
1103272,R121,2017-11-09 23:30
1103273,R121,2017-11-09 23:30
1103275,R121,2017-11-09 23:30
1103284,R121,2017-11-09 23:30
1103285,R121,2017-11-09 23:30
1103286,R121,2017-11-09 23:30
1103287,R121,2017-11-09 23:30
1103289,R121,2017-11-09 23:30
1103290,R121,2017-11-09 23:30
1103291,R121,2017-11-09 23:30
1103292,R122,2017-11-09 23:30
1103293,R121,2017-11-09 23:30
1103294,R121,2017-11-09 23:30
1103295,R121,2017-11-09 23:30
1103296,R121,2017-11-09 23:30
1103324,R121,2017-11-09 23:30
1118575,P001,2023-06-20 23:30
1118573,P001,2023-06-20 23:30
7020036,W001,2018-12-28 23:30
1111929,J001,2024-09-20 23:31
1115772,J001,2024-09-20 23:31
1100146,R720,2024-09-20 23:31
1115769,J001,2024-09-20 23:31
1106108,R123,2024-09-20 23:31
1106116,R123,2024-09-20 23:31
1106600,R123,2024-09-20 23:31
1115203,J001,2024-09-20 23:31
1115204,J001,2024-09-20 23:31
1098269,T001,2018-12-31 23:30
1108631,T001,2018-12-31 23:30
7019972,M001,2018-12-31 23:30
1115210,J001,2024-09-20 23:31
1115219,J001,2024-09-20 23:31
1114838,R720,2023-06-21 23:30
1100278,J001,2017-09-29 23:35
7018856,M001,2017-09-29 23:35
1099293,A001,2017-09-29 23:35
1099294,A001,2017-09-29 23:35
1097906,T001,2014-12-30 01:24
1099318,A001,2017-09-29 23:35
1099391,A001,2017-09-29 23:35
1099453,A001,2017-09-29 23:35
1099496,A001,2017-09-29 23:35
1099508,R215,2017-09-29 23:35
1100386,M001,2017-09-29 23:35
1100451,R500,2017-09-29 23:35
1099574,M001,2017-09-29 23:35
1100183,G001,2017-09-29 23:35
1099324,A001,2017-09-29 23:36
1098669,P001,2017-09-29 23:36
1100068,S001,2017-09-29 23:36
1099224,I001,2017-09-29 23:36
1100008,M001,2017-09-29 23:36
7018946,M001,2017-09-29 23:36
7018986,M001,2017-09-29 23:36
1099128,I001,2017-09-29 23:36
1099136,I001,2017-09-29 23:36
1099138,I001,2017-09-29 23:36
1099141,I001,2017-09-29 23:36
1099875,I001,2017-09-29 23:36
1099957,I001,2017-09-29 23:36
1099052,I001,2017-09-29 23:36
1099304,I001,2017-09-29 23:36
1099166,W001,2017-09-29 23:36
1099993,C001,2017-09-29 23:36
1099993,T001,2017-09-29 23:36
7018887,W001,2017-09-29 23:36
7018892,W001,2017-09-29 23:36
1100082,I001,2017-09-29 23:36
1098637,A001,2017-09-29 23:36
1098644,A001,2017-09-29 23:36
1098785,J001,2017-09-29 23:36
1098801,J001,2017-09-29 23:36
1098802,J001,2017-09-29 23:36
1098803,J001,2017-09-29 23:36
1098804,J001,2017-09-29 23:36
1098805,J001,2017-09-29 23:36
1098806,J001,2017-09-29 23:36
1098807,J001,2017-09-29 23:36
1098827,J001,2017-09-29 23:36
1098828,J001,2017-09-29 23:36
1099466,I001,2017-09-29 23:36
1099468,I001,2017-09-29 23:36
1099474,I001,2017-09-29 23:36
1099477,I001,2017-09-29 23:36
1099842,J001,2017-09-29 23:36
1097771,A001,2017-09-29 23:36
1097786,A001,2017-09-29 23:36
1097787,A001,2017-09-29 23:36
1099972,R710,2017-09-29 23:36
7018957,M001,2017-09-29 23:36
1098617,M001,2017-09-29 23:36
1099292,K001,2017-09-29 23:36
1099480,A001,2017-09-29 23:36
1099480,K001,2017-09-29 23:36
1099562,A001,2017-09-29 23:36
1099562,K001,2017-09-29 23:36
1099564,A001,2017-09-29 23:36
1099564,K001,2017-09-29 23:36
1099573,K001,2017-09-29 23:36
7018976,I001,2017-09-29 23:36
1099620,W001,2017-09-29 23:36
1099313,A001,2017-09-29 23:36
1099321,A001,2017-09-29 23:36
1099322,A001,2017-09-29 23:36
1099092,X001,2017-09-29 23:37
1099266,I001,2017-09-29 23:37
1098876,S001,2017-09-29 23:37
1099028,E001,2017-09-29 23:37
1099028,G001,2017-09-29 23:37
1099028,I001,2017-09-29 23:37
1099029,E001,2017-09-29 23:37
1099029,G001,2017-09-29 23:37
1099029,I001,2017-09-29 23:37
7018834,E001,2017-09-29 23:37
7018834,G001,2017-09-29 23:37
7018834,I001,2017-09-29 23:37
1099195,S001,2017-09-29 23:37
1099196,S001,2017-09-29 23:37
1099328,A001,2017-09-29 23:37
1099329,A001,2017-09-29 23:37
1099330,A001,2017-09-29 23:37
7018857,W001,2017-09-29 23:37
7018858,W001,2017-09-29 23:37
7018859,W001,2017-09-29 23:37
7018871,W001,2017-09-29 23:37
7018872,W001,2017-09-29 23:37
7018873,W001,2017-09-29 23:37
7018875,W001,2017-09-29 23:37
1099395,I001,2017-09-29 23:37
1099865,M001,2017-09-29 23:37
1099865,W001,2017-09-29 23:37
1099866,M001,2017-09-29 23:37
1099866,W001,2017-09-29 23:37
1099611,K001,2017-09-29 23:37
1099611,W001,2017-09-29 23:37
7018829,M001,2017-09-29 23:37
7018830,M001,2017-09-29 23:37
7018831,M001,2017-09-29 23:37
1099050,I001,2017-09-29 23:37
1099498,K001,2017-09-29 23:37
7018863,K001,2017-09-29 23:37
7018864,K001,2017-09-29 23:37
1098749,R233,2017-09-29 23:37
1099159,A001,2017-09-29 23:37
1099159,C001,2017-09-29 23:37
1099159,K001,2017-09-29 23:37
7018862,A001,2017-09-29 23:37
7018862,C001,2017-09-29 23:37
7018862,K001,2017-09-29 23:37
7018889,K001,2017-09-29 23:37
7018890,K001,2017-09-29 23:37
1098685,X001,2017-09-29 23:37
1099192,X001,2017-09-29 23:37
1099193,X001,2017-09-29 23:37
1099194,X001,2017-09-29 23:37
7018916,T001,2017-09-29 23:37
1099173,X001,2017-09-29 23:37
1098413,I001,2017-09-29 23:37
1098413,K001,2017-09-29 23:37
1098413,M001,2017-09-29 23:37
1098413,W001,2017-09-29 23:37
1098415,K001,2017-09-29 23:37
1098415,M001,2017-09-29 23:37
1098415,W001,2017-09-29 23:37
1098438,I001,2017-09-29 23:37
1098497,K001,2017-09-29 23:37
1098497,M001,2017-09-29 23:37
1098497,W001,2017-09-29 23:37
1098500,J001,2017-09-29 23:37
1098500,K001,2017-09-29 23:37
1098500,M001,2017-09-29 23:37
1098500,W001,2017-09-29 23:37
1098501,K001,2017-09-29 23:37
1098501,M001,2017-09-29 23:37
1098501,W001,2017-09-29 23:37
1099288,S001,2017-09-29 23:37
7018861,W001,2017-09-29 23:37
1099054,I001,2017-09-29 23:38
1099298,P001,2017-09-29 23:38
1112019,R122,2024-09-12 00:13
1109847,R810,2021-01-08 23:30
1100726,R720,2019-08-28 23:29
1112029,R810,2024-09-12 00:13
1112019,R110,2024-09-12 00:13
1112019,R123,2024-09-12 00:13
1112019,R830,2024-09-12 00:13
1112030,R810,2024-09-12 00:13
1112036,E001,2024-09-12 00:13
1112053,J001,2024-09-12 00:13
1112054,J001,2024-09-12 00:13
1112056,R810,2024-09-12 00:13
1108484,R830,2021-01-08 23:30
1112058,M001,2024-09-12 00:13
1112060,R810,2024-09-12 00:13
1112062,W001,2024-09-12 00:13
1118762,P001,2022-12-22 23:30
1112064,I001,2024-09-12 00:13
1112067,J001,2024-09-12 00:13
1117605,A001,2022-12-22 23:30
1112068,J001,2024-09-12 00:13
1117967,R110,2022-12-22 23:30
1112086,E001,2024-09-12 00:13
1112122,R710,2024-09-12 00:13
1112123,R710,2024-09-12 00:13
1112124,R710,2024-09-12 00:13
1112125,R720,2024-09-12 00:13
1112126,R710,2024-09-12 00:13
1112157,R211,2024-09-12 00:13
1112161,R500,2024-09-12 00:13
1112164,J001,2024-09-12 00:13
1112170,J001,2024-09-12 00:13
1112174,R720,2024-09-12 00:13
1112184,S001,2024-09-12 00:13
1112185,R810,2024-09-12 00:13
1112196,R810,2024-09-12 00:13
1112197,R810,2024-09-12 00:13
1106687,R720,2019-08-27 23:29
1108354,R122,2019-08-27 23:29
1112198,R810,2024-09-12 00:13
1112199,R810,2024-09-12 00:13
1106702,R122,2019-08-27 23:29
1099236,R710,2019-08-27 23:29
1116797,C001,2022-12-22 23:30
1112211,R600,2024-09-12 00:13
1112224,P001,2024-09-12 00:13
1104489,R720,2022-12-22 23:30
1106413,R123,2021-01-08 23:30
1106687,R710,2019-08-27 23:29
1112225,P001,2024-09-12 00:13
1112236,R710,2024-09-12 00:13
1106412,R123,2021-01-08 23:30
1112264,R710,2024-09-12 00:13
1112280,R810,2024-09-12 00:13
1112282,R720,2024-09-12 00:13
1112283,R720,2024-09-12 00:13
1112284,R720,2024-09-12 00:13
1112288,M001,2024-09-12 00:13
1112303,R710,2024-09-12 00:13
1108119,R710,2022-12-22 23:30
1112313,J001,2024-09-12 00:13
1098357,T001,2018-04-03 23:52
1112314,J001,2024-09-12 00:13
1112315,J001,2024-09-12 00:13
1112316,J001,2024-09-12 00:13
1098709,T001,2018-04-03 23:52
1112317,J001,2024-09-12 00:13
1098728,T001,2018-04-03 23:52
1112318,J001,2024-09-12 00:13
1112319,J001,2024-09-12 00:13
1098731,T001,2018-04-03 23:52
1118764,R710,2022-12-26 23:30
1112320,J001,2024-09-12 00:13
1112321,J001,2024-09-12 00:13
1098735,T001,2018-04-03 23:52
1112330,J001,2024-09-12 00:13
1098738,T001,2018-04-03 23:52
1098739,T001,2018-04-03 23:52
1112339,U001,2024-09-12 00:13
7020335,I001,2020-06-09 23:27
1114914,R720,2022-12-23 23:30
1098741,T001,2018-04-03 23:52
1112508,R600,2020-06-09 23:27
1112347,R710,2024-09-12 00:13
1112353,M001,2024-09-12 00:13
1112354,M001,2024-09-12 00:13
1112389,J001,2024-09-12 00:13
1112392,J001,2024-09-12 00:13
1112394,J001,2024-09-12 00:13
1112400,J001,2024-09-12 00:13
1112401,J001,2024-09-12 00:13
1098747,T001,2018-04-03 23:52
1098748,T001,2018-04-03 23:52
1112413,R122,2024-09-12 00:13
1112456,J001,2024-09-12 00:13
1112458,J001,2024-09-12 00:13
1112459,U001,2024-09-12 00:13
1112477,J001,2024-09-12 00:13
1112478,J001,2024-09-12 00:13
1112489,R500,2024-09-12 00:13
1112490,A001,2024-09-12 00:13
1112491,A001,2024-09-12 00:13
1112494,A001,2024-09-12 00:13
1112505,R122,2024-09-12 00:14
1112513,J001,2024-09-12 00:14
1112546,R110,2024-09-12 00:14
1112246,R720,2021-01-11 23:30
1112553,E001,2024-09-12 00:14
1112556,J001,2024-09-12 00:14
1098236,T001,2018-04-03 23:52
1112573,S001,2024-09-12 00:14
1112608,R720,2024-09-12 00:14
1117086,R810,2022-12-26 23:30
1112609,A001,2024-09-12 00:14
1112622,J001,2024-09-12 00:14
1112623,J001,2024-09-12 00:14
1112634,W001,2024-09-12 00:14
7020759,W001,2022-12-26 23:30
1118680,R720,2022-12-26 23:30
1112635,W001,2024-09-12 00:14
1098727,T001,2014-12-30 01:23
1112636,R400,2024-09-12 00:14
1098270,T001,2018-04-03 23:52
1111142,R110,2021-01-11 23:30
1112664,R720,2024-09-12 00:14
1098302,T001,2018-04-03 23:52
1098303,T001,2018-04-03 23:52
1112666,W001,2024-09-12 00:14
1112670,R720,2024-09-12 00:14
1098304,T001,2018-04-03 23:52
1098318,T001,2018-04-03 23:52
1098319,T001,2018-04-03 23:52
1112678,R600,2024-09-12 00:14
1112683,J001,2024-09-12 00:14
1112688,R720,2024-09-12 00:14
1098323,T001,2018-04-03 23:52
1112694,R500,2024-09-12 00:14
1098324,T001,2018-04-03 23:52
1104662,I001,2020-06-09 23:27
1098326,T001,2018-04-03 23:52
1098328,T001,2018-04-03 23:52
7020333,I001,2020-06-09 23:27
1111213,P001,2022-12-26 23:30
1117350,P001,2022-12-26 23:30
1098329,T001,2018-04-03 23:52
1098330,T001,2018-04-03 23:52
1112705,R122,2024-09-12 00:14
1112710,R500,2024-09-12 00:14
1115114,J001,2021-01-12 23:30
1105903,P001,2022-12-26 23:30
1112711,R500,2024-09-12 00:14
1098332,T001,2018-04-03 23:52
1113775,R600,2022-12-26 23:30
1112712,R500,2024-09-12 00:14
1112714,J001,2024-09-12 00:14
1112719,R720,2024-09-12 00:14
1098334,T001,2018-04-03 23:52
1098336,T001,2018-04-03 23:52
1112725,R233,2024-09-12 00:14
1112741,R233,2024-09-12 00:14
1112742,R233,2024-09-12 00:14
1118825,R233,2022-12-27 23:30
1112743,R233,2024-09-12 00:14
1112744,R233,2024-09-12 00:14
1112745,R233,2024-09-12 00:14
1118826,R233,2022-12-27 23:30
1112746,R233,2024-09-12 00:14
1110685,R720,2021-01-12 23:30
1112747,R233,2024-09-12 00:14
1112748,R233,2024-09-12 00:14
1110678,R720,2021-01-12 23:30
1110680,R720,2021-01-12 23:30
1110683,R720,2021-01-12 23:30
1112749,R233,2024-09-12 00:14
1112750,R233,2024-09-12 00:14
1112751,R233,2024-09-12 00:14
1112752,R233,2024-09-12 00:14
1112753,R233,2024-09-12 00:14
1117918,R720,2022-12-27 23:30
1112754,R232,2024-09-12 00:14
1112755,R233,2024-09-12 00:14
1112756,R233,2024-09-12 00:14
1112757,R233,2024-09-12 00:14
1097329,R215,2021-01-12 23:30
1113371,R233,2021-01-12 23:30
1113551,R710,2020-06-10 23:27
1112758,R233,2024-09-12 00:14
1113552,R710,2020-06-10 23:27
1104592,I001,2020-06-10 23:27
1112759,R233,2024-09-12 00:14
1112766,R233,2024-09-12 00:14
1097973,T001,2018-04-03 23:52
1097974,T001,2018-04-03 23:52
1097975,T001,2018-04-03 23:52
1112797,J001,2024-09-12 00:14
1112798,J001,2024-09-12 00:14
1097986,T001,2018-04-03 23:52
1118835,R233,2022-12-27 23:30
1112799,R720,2024-09-12 00:14
1118836,R233,2022-12-27 23:30
1112822,R233,2024-09-12 00:14
1097292,R710,2021-01-12 23:30
1118837,R233,2022-12-27 23:30
1098736,T001,2014-12-30 01:24
1112836,R233,2024-09-12 00:14
1112837,R233,2024-09-12 00:14
1112840,R233,2024-09-12 00:14
1117349,P001,2022-12-27 23:30
1117348,P001,2022-12-27 23:30
1112842,R233,2024-09-12 00:14
1115046,R720,2021-01-13 23:30
1115047,R720,2021-01-13 23:30
1115048,R720,2021-01-13 23:30
1115049,R720,2021-01-13 23:30
1112846,R122,2024-09-12 00:14
1112848,R122,2024-09-12 00:14
1112851,J001,2024-09-12 00:14
1112859,R233,2024-09-12 00:14
1112860,R233,2024-09-12 00:14
1112864,R233,2024-09-12 00:14
7020721,R123,2022-12-27 23:30
1112865,R233,2024-09-12 00:14
1112879,R233,2024-09-12 00:14
1112880,R233,2024-09-12 00:14
1117919,R720,2022-12-27 23:30
1112881,R233,2024-09-12 00:14
1112899,J001,2024-09-12 00:14
1112905,R233,2024-09-12 00:14
1112906,R233,2024-09-12 00:14
1112907,R233,2024-09-12 00:14
1112911,R233,2024-09-12 00:14
1112912,R233,2024-09-12 00:14
1112913,R233,2024-09-12 00:14
1112914,R233,2024-09-12 00:14
1112915,R233,2024-09-12 00:14
1112916,R233,2024-09-12 00:14
1112917,R233,2024-09-12 00:14
1112918,R233,2024-09-12 00:14
1112938,J001,2024-09-12 00:14
1097956,T001,2014-12-30 01:24
1112944,J001,2024-09-12 00:14
1112947,R233,2024-09-12 00:14
1112950,R233,2024-09-12 00:14
1113064,R720,2022-12-28 23:30
1112951,R233,2024-09-12 00:14
1109428,R720,2022-12-28 23:30
1098121,T001,2018-04-03 23:53
1112953,R810,2024-09-12 00:14
7018886,W001,2019-09-03 23:29
1098122,T001,2018-04-03 23:53
1098123,T001,2018-04-03 23:53
1098124,T001,2018-04-03 23:53
1112961,R810,2024-09-12 00:14
1112962,R810,2024-09-12 00:14
1106580,R710,2024-04-18 23:30
1119449,J001,2024-10-21 23:30
1106206,R123,2018-10-24 00:22
1119450,J001,2024-10-21 23:30
1119451,J001,2024-10-21 23:30
1109187,R830,2024-10-21 23:30
1109186,R830,2024-10-21 23:30
1106219,I001,2018-10-24 00:22
1104396,R830,2024-10-21 23:30
1106220,I001,2018-10-24 00:22
1117177,R720,2024-10-21 23:30
1117176,R720,2024-10-21 23:30
1117165,R720,2024-10-21 23:30
7019704,M001,2024-10-21 23:30
1120649,R720,2024-10-21 23:30
1106242,I001,2018-10-24 00:22
1103089,R122,2024-10-21 23:30
1098512,J001,2018-04-03 23:34
1106247,G001,2018-10-24 00:23
1121998,R110,2024-10-21 23:30
1113631,J001,2024-10-22 23:30
7020698,R233,2024-10-23 23:30
1121716,R830,2024-10-22 23:30
1116444,J001,2024-10-22 23:30
1114096,J001,2024-10-22 23:30
1120391,J001,2024-10-22 23:30
1106827,R720,2024-10-22 23:30
1106853,R720,2024-10-22 23:30
1113621,R720,2024-10-22 23:30
1106363,R720,2018-10-24 00:23
1121081,R810,2024-10-22 23:30
1121080,R810,2024-10-22 23:30
1106359,R720,2018-10-24 00:23
1106362,R720,2018-10-24 00:23
1106364,R123,2018-10-24 00:23
1106366,R123,2018-10-24 00:23
1106529,R720,2018-10-24 00:23
1113461,R123,2024-10-22 23:30
1104767,R720,2024-10-22 23:30
1111332,R110,2024-10-22 23:30
1117574,I001,2024-10-22 23:30
1106385,E001,2018-10-24 00:23
1119066,T001,2024-10-22 23:30
1111115,R720,2024-10-22 23:30
1114859,X001,2024-10-22 23:30
1106424,P001,2018-10-24 00:23
1106440,R720,2018-10-24 00:23
1099826,D001,2024-09-12 00:02
1099497,T001,2024-10-23 23:30
1097040,S001,2020-03-04 10:32
1097044,J001,2020-03-04 10:32
1097075,W001,2020-03-04 10:32
1097076,R710,2020-03-04 10:32
1097081,M001,2020-03-04 10:32
1097082,J001,2020-03-04 10:32
1097083,J001,2020-03-04 10:32
1106494,R710,2018-10-24 00:23
1097086,R215,2020-03-04 10:32
1097108,S001,2020-03-04 10:32
1100904,J001,2018-04-03 23:39
1097139,R215,2020-03-04 10:32
1097149,T001,2020-03-04 10:32
1097242,R122,2020-03-04 10:32
1097243,J001,2020-03-04 10:32
1097258,R122,2020-03-04 10:32
1097260,R122,2020-03-04 10:32
1097264,R122,2020-03-04 10:32
1097265,R122,2020-03-04 10:32
1097266,R122,2020-03-04 10:32
1097267,R122,2020-03-04 10:32
1097268,R122,2020-03-04 10:32
1097273,R122,2020-03-04 10:32
1097274,R122,2020-03-04 10:32
1097275,R122,2020-03-04 10:32
1097276,R122,2020-03-04 10:32
1097288,R122,2020-03-04 10:32
1097351,I001,2020-03-04 10:32
1097352,I001,2020-03-04 10:32
1097353,I001,2020-03-04 10:32
1097355,J001,2020-03-04 10:32
1097432,J001,2020-03-04 10:32
1097532,I001,2020-03-04 10:32
1097535,W001,2020-03-04 10:32
1097535,A001,2020-03-04 10:32
1097549,J001,2020-03-04 10:32
1106552,R215,2018-10-24 00:23
1097549,K001,2020-03-04 10:32
1097580,R233,2020-03-04 10:32
1106558,R710,2018-10-24 00:23
1097043,J001,2018-04-03 23:39
1097630,M001,2020-03-04 10:32
1097639,M001,2020-03-04 10:32
1097642,R600,2020-03-04 10:32
1097650,R600,2020-03-04 10:32
1097651,R600,2020-03-04 10:32
1097652,R600,2020-03-04 10:32
1097656,R600,2020-03-04 10:32
1097658,R600,2020-03-04 10:32
1097659,R600,2020-03-04 10:32
1097661,R600,2020-03-04 10:32
1097670,R600,2020-03-04 10:32
1097676,R600,2020-03-04 10:32
1097678,R600,2020-03-04 10:32
1097681,R600,2020-03-04 10:32
1106619,R123,2018-10-24 00:23
1106620,R215,2018-10-24 00:23
1097691,R600,2020-03-04 10:32
1097692,R600,2020-03-04 10:32
1097696,X001,2020-03-04 10:32
1097710,J001,2020-03-04 10:32
1097715,J001,2020-03-04 10:32
1097723,K001,2020-03-04 10:32
1097726,I001,2020-03-04 10:32
1097736,R600,2020-03-04 10:32
1106654,R123,2018-10-24 00:24
1097737,R600,2020-03-04 10:32
1097738,R600,2020-03-04 10:32
1097782,R215,2020-03-04 10:32
1097790,I001,2020-03-04 10:32
1097812,J001,2020-03-04 10:32
1097916,J001,2020-03-04 10:32
1097983,J001,2020-03-04 10:32
1097984,J001,2020-03-04 10:32
1098019,R122,2020-03-04 10:32
1098023,I001,2020-03-04 10:32
1098023,W001,2020-03-04 10:32
1098026,J001,2020-03-04 10:32
1098313,W001,2020-03-04 10:32
1098342,P001,2020-03-04 10:32
1098365,C001,2020-03-04 10:32
1098427,J001,2020-03-04 10:32
1098442,W001,2020-03-04 10:32
1106692,R720,2018-10-24 00:24
7019165,W001,2017-08-24 23:30
1098443,J001,2020-03-04 10:32
1098459,R215,2020-03-04 10:32
1098502,T001,2020-03-04 10:32
1098505,T001,2020-03-04 10:32
1098507,T001,2020-03-04 10:32
1098509,T001,2020-03-04 10:32
1102164,T001,2018-04-03 23:45
1097922,T001,2017-06-19 18:31
1102164,S001,2018-04-03 23:45
1106526,I001,2018-10-24 00:23
1117798,S001,2025-03-25 23:30
1103803,T001,2023-02-01 23:30
1097879,T001,2023-02-01 23:30
1103417,R710,2018-04-09 23:38
1121763,R110,2024-09-05 23:30
1105747,P001,2019-12-02 23:29
1097884,T001,2023-02-01 23:30
1110583,R810,2019-02-08 23:30
1121760,R110,2024-09-05 23:30
1121762,R110,2024-09-05 23:30
1121701,R110,2024-09-05 23:30
1097899,T001,2023-02-01 23:30
1100069,S001,2019-02-14 23:30
1103561,R110,2020-09-17 00:11
1097903,T001,2023-02-01 23:30
1097905,T001,2023-02-01 23:30
1121797,R110,2024-09-05 23:30
1102231,T001,2019-02-08 23:30
1121765,R110,2024-09-05 23:30
1097870,T001,2023-02-01 23:30
1123221,R233,2025-05-02 23:30
1121695,R110,2024-09-05 23:30
7019716,C001,2023-02-01 23:30
1123222,R233,2025-05-02 23:30
1121764,R110,2024-09-05 23:30
1123224,R233,2025-05-02 23:30
1121796,R110,2024-09-05 23:30
1105791,R720,2019-12-02 23:30
1105790,R720,2019-12-02 23:30
1121124,R233,2025-05-02 23:30
1121798,R110,2024-09-05 23:30
1116642,R730,2025-05-02 23:30
1121799,R110,2024-09-05 23:30
1121800,R110,2024-09-05 23:30
1117786,S001,2023-02-01 23:30
1121795,R110,2024-09-05 23:30
1121699,R110,2024-09-05 23:30
1105772,R710,2019-12-03 23:29
1116641,R730,2025-05-02 23:30
1120144,R720,2025-05-02 23:30
1109123,R500,2018-07-27 23:33
1109124,R500,2018-07-27 23:33
1118124,R720,2025-04-30 23:30
7019502,J001,2019-02-12 23:30
7020149,A001,2019-12-02 23:30
7020149,W001,2019-12-02 23:30
1115640,R720,2024-09-05 23:30
1120894,R730,2024-09-05 23:30
1120895,R730,2024-09-05 23:30
